idc,idr
139222:398088,12569249314:12569247689
139222:142669,12569249314:12569288943
139222:239608,12569249314:12569248133
139261:202979,12568691209:12568690750
139261:401830,12568691209:12568689311
139261:442526,12568691209:12568688154
139261:233800,12568691209:12568688223
139261:278922,12568691209:12568690288
139261:291403,12568691209:12568690355
139261:414954,12568691209:12568688675
142216:200358,12578029367:12578028682
142216:379478,12578029367:12578027750
142669:434827,12569288943:12569246965
142810:212993,12569249163:12569248981
142810:376468,12569249163:12569247986
142810:151263,12569249163:12569249215
142810:345710,12569249163:12569247574
142810:230879,12569249163:12569247601
142810:348244,12569249163:12569248239
142810:150977,12569249163:12568652251
143038:357512,12568650750:12568650716
143038:369672,12568650750:12568651091
143038:325093,12568650750:12568650428
143038:252293,12568650750:12568651860
143038:421673,12568650750:12568650178
143038:381312,12568650750:12568650394
143038:323513,12568650750:12568650132
143038:261104,12568650750:12568651978
143038:265973,12568650750:12568651847
143038:314527,12568650750:12568651607
143038:169803,12568650750:12568652452
143038:220287,12568650750:12568652094
143038:279085,12568650750:12568651502
150673:251831,12568650838:12568651897
150673:279650,12568650838:12568651020
150673:301631,12568650838:12568651033
150673:222838,12568650838:12568652156
150673:351356,12568650838:12568651110
150673:211957,12568650838:12568652019
150673:238882,12568650838:12568651460
150673:350072,12568650838:12568650907
150977:260383,12568652251:12568651956
150977:197704,12568652251:12568649582
150977:206648,12568652251:12568649562
150977:348244,12568652251:12569248239
150977:211957,12568652251:12568652019
150977:431790,12568652251:12568649498
150977:299481,12568652251:12568651643
150977:209186,12568652251:12568652416
150977:437448,12568652251:12568650086
150977:279650,12568652251:12568651020
150977:301631,12568652251:12568651033
150977:238882,12568652251:12568651460
150977:350072,12568652251:12568650907
150977:251831,12568652251:12568651897
150977:376468,12568652251:12569247986
151263:212993,12569249215:12569248981
151263:376468,12569249215:12569247986
151263:225161,12569249215:12569248879
151263:230879,12569249215:12569247601
151263:345710,12569249215:12569247574
151263:414682,12569249215:12569247091
151263:175786,12569249215:12569248279
151263:171060,12569249215:12569249057
153801:350072,12568652180:12568650907
153801:351356,12568652180:12568651110
153801:251831,12568652180:12568651897
153801:222838,12568652180:12568652156
153801:279650,12568652180:12568651020
153801:437448,12568652180:12568650086
153801:301631,12568652180:12568651033
153801:238882,12568652180:12568651460
153801:299481,12568652180:12568651643
153801:431790,12568652180:12568649498
153801:206648,12568652180:12568649562
153801:211957,12568652180:12568652019
153801:203091,12568652180:12568651822
153801:260383,12568652180:12568651956
153801:197704,12568652180:12568649582
153993:286236,12569249323:12569248412
153993:398088,12569249323:12569247689
153993:381565,12569249323:12569247323
153993:296048,12569249323:12569248529
153993:239608,12569249323:12569248133
153993:162394,12569249323:12569248563
153993:353267,12569249323:12569247937
153993:384455,12569249323:12569287262
153993:303889,12569249323:12569248457
153993:175786,12569249323:12569248279
153993:187050,12569249323:12568652136
154867:170332,12568652427:12568652219
154867:343227,12568652427:12568651536
154867:219980,12568652427:12568652301
154867:249875,12568652427:12568652049
154867:290772,12568652427:12568651780
154988:335778,12578570694:12578569690
154988:279259,12578570694:12578569661
155262:205304,12577987651:12577987762
155262:167663,12577987651:12577990607
155262:210060,12577987651:12577989983
159299:238538,12569288726:12569288303
162394:384455,12569248563:12569287262
162394:296048,12569248563:12569248529
162394:360031,12569248563:12568649884
162394:398088,12569248563:12569247689
162394:353267,12569248563:12569247937
162394:273619,12569248563:12568651746
162394:194338,12569248563:12568649901
162394:345615,12569248563:12568649929
162394:389691,12569248563:12568649848
162394:434827,12569248563:12569246965
162394:259155,12569248563:12569287985
162394:366148,12569248563:12568689506
162394:230680,12569248563:12568690973
162394:286236,12569248563:12569248412
163653:227705,12578568878:12578570405
163653:230195,12578568878:12569288330
167473:296385,12569248590:12569248674
167473:274804,12569248590:12569248805
167473:389520,12569248590:12569247473
167473:401777,12569248590:12569247548
167473:414682,12569248590:12569247091
167663:424769,12577990607:12577987716
167663:205304,12577990607:12577987762
167663:210060,12577990607:12577989983
168745:191284,12568651991:12568652354
168745:317539,12568651991:12568651659
168745:289557,12568651991:12568651341
168745:402934,12568651991:12568650530
168745:171091,12568651991:12568652632
168745:279085,12568651991:12568651502
168745:369672,12568651991:12568651091
168745:338118,12568651991:12568688816
168745:366749,12568651991:12568688852
168745:279915,12568651991:12568651802
168745:341864,12568651991:12568689581
169803:265973,12568652452:12568651847
169803:323513,12568652452:12568650132
169803:314527,12568652452:12568651607
169803:421673,12568652452:12568650178
169803:333997,12568652452:12568651291
169803:220287,12568652452:12568652094
169803:261104,12568652452:12568651978
169803:357512,12568652452:12568650716
169803:280324,12568652452:12568651686
170332:343227,12568652219:12568651536
170332:375113,12568652219:12568650506
170332:219980,12568652219:12568652301
170332:234439,12568652219:12568650468
170332:293114,12568652219:12568651423
170332:238882,12568652219:12568651460
171060:230879,12569249057:12569247601
171060:345710,12569249057:12569247574
171060:398121,12569249057:12569247221
171060:414682,12569249057:12569247091
171060:249875,12569249057:12568652049
171060:401777,12569249057:12569247548
171060:389520,12569249057:12569247473
171060:368572,12569249057:12568650992
171060:226383,12569249057:12569248900
171091:191284,12568652632:12568652354
171091:279085,12568652632:12568651502
171091:289557,12568652632:12568651341
171091:369672,12568652632:12568651091
171091:279915,12568652632:12568651802
171091:317539,12568652632:12568651659
171091:189224,12568652632:12568652174
171091:338118,12568652632:12568688816
171091:366749,12568652632:12568688852
171091:220287,12568652632:12568652094
173589:437448,12569249100:12568650086
173589:299481,12569249100:12568651643
175786:303889,12569248279:12569248457
175786:225161,12569248279:12569248879
175786:239608,12569248279:12569248133
179349:259155,12569288867:12569287985
179349:230680,12569288867:12568690973
179349:296048,12569288867:12569248529
179349:238538,12569288867:12569288303
179349:384455,12569288867:12569287262
186431:227705,12578570903:12578570405
187050:428783,12568652136:12568650313
189224:279085,12568652174:12568651502
189224:402934,12568652174:12568650530
189224:220287,12568652174:12568652094
191284:402934,12568652354:12568650530
191284:279085,12568652354:12568651502
191284:289557,12568652354:12568651341
191284:317539,12568652354:12568651659
191284:338118,12568652354:12568688816
191284:366749,12568652354:12568688852
191284:369672,12568652354:12568651091
191284:279915,12568652354:12568651802
194338:366148,12568649901:12568689506
194338:372537,12568649901:12568651183
194338:273619,12568649901:12568651746
194338:384455,12568649901:12569287262
194338:215823,12568649901:12568690988
196294:243111,12577990283:12577989252
196294:230736,12577990283:12577989258
196294:208237,12577990283:12568651709
196294:251061,12577990283:12568651910
196294:398823,12577990283:12568650673
197704:431790,12568649582:12568649498
197704:209186,12568649582:12568652416
197704:260383,12568649582:12568651956
197704:299481,12568649582:12568651643
197704:211957,12568649582:12568652019
197704:348244,12568649582:12569248239
197704:437448,12568649582:12568650086
197704:350072,12568649582:12568650907
197704:351356,12568649582:12568651110
200358:379478,12578028682:12578027750
200358:328197,12578028682:12577989373
202979:278922,12568690750:12568690288
202979:401830,12568690750:12568689311
202979:442526,12568690750:12568688154
202979:233800,12568690750:12568688223
202979:291403,12568690750:12568690355
203091:351356,12568651822:12568651110
203091:350072,12568651822:12568650907
205304:210060,12577987762:12577989983
206648:431790,12568649562:12568649498
206648:299481,12568649562:12568651643
206648:260383,12568649562:12568651956
206648:209186,12568649562:12568652416
206648:211957,12568649562:12568652019
206648:437448,12568649562:12568650086
206648:350072,12568649562:12568650907
206648:348244,12568649562:12569248239
206648:351356,12568649562:12568651110
206648:279650,12568649562:12568651020
206648:251831,12568649562:12568651897
206648:301631,12568649562:12568651033
208237:230736,12568651709:12577989258
208237:243111,12568651709:12577989252
208237:398823,12568651709:12568650673
208237:329974,12568651709:12568651213
208237:209761,12568651709:12568652109
208237:251061,12568651709:12568651910
208237:305274,12568651709:12568651566
209186:431790,12568652416:12568649498
209186:299481,12568652416:12568651643
209186:260383,12568652416:12568651956
209186:348244,12568652416:12569248239
209186:211957,12568652416:12568652019
209186:437448,12568652416:12568650086
209186:350072,12568652416:12568650907
209761:329974,12568652109:12568651213
209761:398823,12568652109:12568650673
209761:234439,12568652109:12568650468
209761:375113,12568652109:12568650506
209761:305274,12568652109:12568651566
209761:251061,12568652109:12568651910
209761:230736,12568652109:12577989258
209761:243111,12568652109:12577989252
209761:219980,12568652109:12568652301
209761:293114,12568652109:12568651423
210060:424769,12577989983:12577987716
211605:227705,12578568881:12578570405
211605:230195,12578568881:12569288330
211957:431790,12568652019:12568649498
211957:260383,12568652019:12568651956
211957:351356,12568652019:12568651110
211957:350072,12568652019:12568650907
211957:299481,12568652019:12568651643
211957:360404,12568652019:12568650816
211957:251831,12568652019:12568651897
211957:279650,12568652019:12568651020
211957:301631,12568652019:12568651033
211957:437448,12568652019:12568650086
211957:238882,12568652019:12568651460
211957:222838,12568652019:12568652156
211957:348244,12568652019:12569248239
212993:376468,12569248981:12569247986
212993:345710,12569248981:12569247574
212993:230879,12569248981:12569247601
212993:348244,12569248981:12569248239
212993:225161,12569248981:12569248879
215076:349010,12568690758:12568689951
215076:264958,12568690758:12568651939
215076:292471,12568690758:12568690321
215823:218449,12568690988:12569288606
215823:345615,12568690988:12568649929
215823:295068,12568690988:12569287498
218449:295068,12569288606:12569287498
218449:434827,12569288606:12569246965
218449:273619,12569288606:12568651746
219980:290772,12568652301:12568651780
219980:234439,12568652301:12568650468
219980:375113,12568652301:12568650506
219980:305274,12568652301:12568651566
219980:343227,12568652301:12568651536
219980:329974,12568652301:12568651213
220287:314527,12568652094:12568651607
220287:333997,12568652094:12568651291
220287:280324,12568652094:12568651686
220287:279085,12568652094:12568651502
220287:402934,12568652094:12568650530
220287:369672,12568652094:12568651091
220287:323513,12568652094:12568650132
220287:265973,12568652094:12568651847
222838:251831,12568652156:12568651897
222838:279650,12568652156:12568651020
222838:301631,12568652156:12568651033
222838:238882,12568652156:12568651460
222838:351356,12568652156:12568651110
222838:360404,12568652156:12568650816
222838:350072,12568652156:12568650907
225161:303889,12569248879:12569248457
225161:414682,12569248879:12569247091
225161:239608,12569248879:12569248133
225161:389520,12569248879:12569247473
226383:230879,12569248900:12569247601
226383:345710,12569248900:12569247574
226383:296385,12569248900:12569248674
226383:398121,12569248900:12569247221
226383:274804,12569248900:12569248805
226383:249875,12569248900:12568652049
227705:345905,12578570405:12578568893
230195:434827,12569288330:12569246965
230680:263200,12568690973:12568690632
230680:259155,12568690973:12569287985
230680:296048,12568690973:12569248529
230680:384455,12568690973:12569287262
230680:366148,12568690973:12568689506
230680:408840,12568690973:12569286880
230736:398823,12577989258:12568650673
230736:329974,12577989258:12568651213
230736:251061,12577989258:12568651910
230879:249875,12569247601:12568652049
230879:387831,12569247601:12568650946
230879:398121,12569247601:12569247221
230879:376468,12569247601:12569247986
230879:414682,12569247601:12569247091
230995:332944,12577988603:12577988664
230995:336765,12577988603:12577989558
230995:328197,12577988603:12577989373
233800:278922,12568688223:12568690288
233800:291403,12568688223:12568690355
233800:401830,12568688223:12568689311
233800:292471,12568688223:12568690321
233800:414954,12568688223:12568688675
233800:349010,12568688223:12568689951
234439:293114,12568650468:12568651423
234439:305274,12568650468:12568651566
234439:343227,12568650468:12568651536
234439:329974,12568650468:12568651213
234439:398823,12568650468:12568650673
238538:408840,12569288303:12569286880
238882:279650,12568651460:12568651020
238882:251831,12568651460:12568651897
238882:360404,12568651460:12568650816
238882:351356,12568651460:12568651110
238882:350072,12568651460:12568650907
239608:303889,12569248133:12569248457
239608:398088,12569248133:12569247689
239608:286236,12569248133:12569248412
239608:353267,12569248133:12569247937
239608:381565,12569248133:12569247323
243111:398823,12577989252:12568650673
243111:329974,12577989252:12568651213
249875:387831,12568652049:12568650946
249875:345710,12568652049:12569247574
251061:398823,12568651910:12568650673
251831:279650,12568651897:12568651020
251831:301631,12568651897:12568651033
251831:360404,12568651897:12568650816
251831:351356,12568651897:12568651110
251831:350072,12568651897:12568650907
251831:431790,12568651897:12568649498
252293:261104,12568651860:12568651978
252293:325093,12568651860:12568650428
252293:381312,12568651860:12568650394
252293:357512,12568651860:12568650716
252293:421673,12568651860:12568650178
252293:323513,12568651860:12568650132
252293:265973,12568651860:12568651847
252293:369672,12568651860:12568651091
259155:366148,12569287985:12568689506
259155:263200,12569287985:12568690632
259155:384455,12569287985:12569287262
259155:408840,12569287985:12569286880
259155:296048,12569287985:12569248529
260383:348244,12568651956:12569248239
260383:299481,12568651956:12568651643
260383:431790,12568651956:12568649498
260383:437448,12568651956:12568650086
260383:350072,12568651956:12568650907
260383:351356,12568651956:12568651110
260383:279650,12568651956:12568651020
260383:301631,12568651956:12568651033
261104:421673,12568651978:12568650178
261104:381312,12568651978:12568650394
261104:325093,12568651978:12568650428
261104:357512,12568651978:12568650716
261104:323513,12568651978:12568650132
261104:265973,12568651978:12568651847
263200:366148,12568690632:12568689506
263200:296048,12568690632:12569248529
265973:323513,12568651847:12568650132
265973:421673,12568651847:12568650178
265973:357512,12568651847:12568650716
265973:325093,12568651847:12568650428
265973:381312,12568651847:12568650394
265973:314527,12568651847:12568651607
265973:369672,12568651847:12568651091
265973:333997,12568651847:12568651291
273619:410451,12568651746:12568649613
273619:426980,12568651746:12568649757
273619:360031,12568651746:12568649884
273619:345615,12568651746:12568649929
273619:389691,12568651746:12568649848
273619:384455,12568651746:12569287262
273619:295068,12568651746:12569287498
274804:401777,12569248805:12569247548
274804:389520,12569248805:12569247473
274804:296385,12569248805:12569248674
274804:398121,12569248805:12569247221
274804:414682,12569248805:12569247091
278922:442526,12568690288:12568688154
278922:291403,12568690288:12568690355
278922:401830,12568690288:12568689311
278922:292471,12568690288:12568690321
279085:402934,12568651502:12568650530
279085:369672,12568651502:12568651091
279085:317539,12568651502:12568651659
279085:289557,12568651502:12568651341
279085:338118,12568651502:12568688816
279085:366749,12568651502:12568688852
279085:279915,12568651502:12568651802
279085:314527,12568651502:12568651607
279259:338986,12578569661:12578570142
279259:289732,12578569661:12578570388
279650:360404,12568651020:12568650816
279650:351356,12568651020:12568651110
279650:350072,12568651020:12568650907
279650:431790,12568651020:12568649498
279915:366749,12568651802:12568688852
279915:338118,12568651802:12568688816
279915:289557,12568651802:12568651341
279915:317539,12568651802:12568651659
279915:402934,12568651802:12568650530
279915:341864,12568651802:12568689581
280324:333997,12568651686:12568651291
280324:321281,12568651686:12568651385
280324:314527,12568651686:12568651607
280324:293114,12568651686:12568651423
286236:381565,12569248412:12569247323
286236:398088,12569248412:12569247689
286236:296048,12569248412:12569248529
286236:410161,12569248412:12569247177
286236:353267,12569248412:12569247937
286236:346156,12569248412:12569248194
286236:384455,12569248412:12569287262
286236:303889,12569248412:12569248457
286236:326688,12569248412:12569248354
289557:338118,12568651341:12568688816
289557:366749,12568651341:12568688852
289557:341864,12568651341:12568689581
289557:414954,12568651341:12568688675
289557:402934,12568651341:12568650530
289557:369672,12568651341:12568651091
289732:335778,12578570388:12578569690
290772:327406,12568651780:12568651586
291403:292471,12568690355:12568690321
291403:442526,12568690355:12568688154
291403:349010,12568690355:12568689951
291403:401830,12568690355:12568689311
292471:349010,12568690321:12568689951
292471:442526,12568690321:12568688154
292790:347248,12577989594:12577989220
293114:321281,12568651423:12568651385
293114:375113,12568651423:12568650506
293114:343227,12568651423:12568651536
295068:434827,12569287498:12569246965
296048:384455,12569248529:12569287262
296048:381565,12569248529:12569247323
296048:398088,12569248529:12569247689
296048:353267,12569248529:12569247937
296048:408840,12569248529:12569286880
296385:401777,12569248674:12569247548
296385:389520,12569248674:12569247473
296385:398121,12569248674:12569247221
299481:437448,12568651643:12568650086
299481:431790,12568651643:12568649498
299481:350072,12568651643:12568650907
299481:348244,12568651643:12569248239
299481:351356,12568651643:12568651110
301631:360404,12568651033:12568650816
301631:351356,12568651033:12568651110
301631:350072,12568651033:12568650907
301631:431790,12568651033:12568649498
305274:329974,12568651566:12568651213
305274:398823,12568651566:12568650673
305274:375113,12568651566:12568650506
305274:343227,12568651566:12568651536
314527:333997,12568651607:12568651291
314527:323513,12568651607:12568650132
314527:357512,12568651607:12568650716
314527:421673,12568651607:12568650178
314527:369672,12568651607:12568651091
317539:338118,12568651659:12568688816
317539:366749,12568651659:12568688852
317539:341864,12568651659:12568689581
317539:414954,12568651659:12568688675
317539:369672,12568651659:12568651091
317539:402934,12568651659:12568650530
321281:333997,12568651385:12568651291
323513:357512,12568650132:12568650716
323513:325093,12568650132:12568650428
323513:381312,12568650132:12568650394
323513:369672,12568650132:12568651091
325093:357512,12568650428:12568650716
325093:421673,12568650428:12568650178
325093:369672,12568650428:12568651091
326688:346156,12569248354:12569248194
326688:410161,12569248354:12569247177
326688:353267,12569248354:12569247937
326688:398088,12569248354:12569247689
326688:434827,12569248354:12569246965
327406:398823,12568651586:12568650673
327406:329974,12568651586:12568651213
328197:379478,12577989373:12578027750
328197:336765,12577989373:12577989558
328197:332944,12577989373:12577988664
329974:375113,12568651213:12568650506
332944:336765,12577988664:12577989558
335778:338986,12578569690:12578570142
338118:341864,12568688816:12568689581
338118:414954,12568688816:12568688675
338118:402934,12568688816:12568650530
338986:426980,12578570142:12568649757
338986:410451,12578570142:12568649613
341864:414954,12568689581:12568688675
341864:366749,12568689581:12568688852
343227:375113,12568651536:12568650506
345615:372537,12568649929:12568651183
345615:366148,12568649929:12568689506
345615:384455,12568649929:12569287262
345710:387831,12569247574:12568650946
345710:376468,12569247574:12569247986
345710:398121,12569247574:12569247221
345710:414682,12569247574:12569247091
346156:353267,12569248194:12569247937
346156:398088,12569248194:12569247689
348244:437448,12569248239:12568650086
348244:431790,12569248239:12568649498
350072:351356,12568650907:12568651110
350072:431790,12568650907:12568649498
350072:437448,12568650907:12568650086
350072:360404,12568650907:12568650816
351356:431790,12568651110:12568649498
351356:360404,12568651110:12568650816
351356:437448,12568651110:12568650086
353267:398088,12569247937:12569247689
353267:434827,12569247937:12569246965
353267:384455,12569247937:12569287262
353267:410161,12569247937:12569247177
357512:421673,12568650716:12568650178
357512:381312,12568650716:12568650394
357512:369672,12568650716:12568651091
360031:389691,12568649884:12568649848
360031:372537,12568649884:12568651183
360031:366148,12568649884:12568689506
360031:384455,12568649884:12569287262
360404:431790,12568650816:12568649498
366148:389691,12568689506:12568649848
366148:384455,12568689506:12569287262
366749:414954,12568688852:12568688675
366749:402934,12568688852:12568650530
368572:398121,12568650992:12569247221
368572:401777,12568650992:12569247548
369672:402934,12568651091:12568650530
369672:381312,12568651091:12568650394
369672:421673,12568651091:12568650178
372537:389691,12568651183:12568649848
375113:398823,12568650506:12568650673
381312:421673,12568650394:12568650178
381565:398088,12569247323:12569247689
384455:398088,12569287262:12569247689
384455:434827,12569287262:12569246965
384455:389691,12569287262:12568649848
389520:401777,12569247473:12569247548
389520:414682,12569247473:12569247091
389520:398121,12569247473:12569247221
398088:434827,12569247689:12569246965
398088:410161,12569247689:12569247177
398121:401777,12569247221:12569247548
398121:414682,12569247221:12569247091
401777:414682,12569247548:12569247091
401830:442526,12568689311:12568688154
410451:428783,12568649613:12568650313
414954:442526,12568688675:12568688154
431790:437448,12568649498:12568650086
